nuzero,omegazero,deltazero,nu,omega,delta,deltaomega,deltadelta,c,scarti
17,106.8141502,9.31,1400,8796.459430,9.70,8689.645280,0.39,2.93357E+08,1.51034E+13
18,113.0973355,9.31,1421,8928.406322,9.70,8815.308986,0.39,2.97599E+08,1.26745E+11
18,113.0973355,9.31,1422,8934.689507,9.69,8821.592171,0.38,3.05648E+08,7.06485E+13
18,113.0973355,9.31,1393,8752.477133,9.71,8639.379797,0.40,2.84368E+08,1.65759E+14
18,113.0973355,9.32,1399,8790.176245,9.70,8677.078909,0.38,3.00641E+08,1.15478E+13
17,106.8141502,9.31,1396,8771.326689,9.70,8664.512539,0.39,2.92508E+08,2.24181E+13
18,113.0973355,9.32,1414,8884.424024,9.69,8771.326689,0.37,3.12120E+08,2.21336E+14
18,113.0973355,9.32,1391,8739.910762,9.69,8626.813427,0.37,3.06978E+08,9.47700E+13
18,113.0973355,9.32,1376,8645.662983,9.69,8532.565647,0.37,3.03624E+08,4.07205E+13
17,106.8141502,9.32,1404,8821.592171,9.69,8714.778021,0.37,3.10108E+08,1.65512E+14
18,113.0973355,9.32,1434,9010.087730,9.70,8896.990395,0.38,3.08261E+08,1.21388E+14
17,106.8141502,9.31,1334,8381.769200,9.71,8274.955050,0.40,2.72373E+08,6.18512E+14
18,113.0973355,9.32,1342,8432.034682,9.70,8318.937347,0.38,2.88232E+08,8.11908E+13
17,106.8141502,9.32,1363,8563.981574,9.69,8457.167423,0.37,3.00941E+08,1.36772E+13
18,113.0973355,9.32,1317,8274.955050,9.70,8161.857714,0.38,2.82790E+08,2.08891E+14
18,113.0973355,9.32,1351,8488.583350,9.70,8375.486014,0.38,2.90192E+08,4.97210E+13
18,113.0973355,9.31,1316,8268.671864,9.70,8155.574529,0.39,2.75327E+08,4.80319E+14
17,106.8141502,9.31,1330,8356.636459,9.70,8249.822308,0.39,2.78509E+08,3.50979E+14
18,113.0973355,9.31,1380,8670.795724,9.71,8557.698388,0.40,2.81680E+08,2.42217E+14
18,113.0973355,9.32,1444,9072.919584,9.71,8959.822248,0.39,3.02478E+08,2.74019E+13
18,113.0973355,9.32,1435,9016.370916,9.70,8903.273580,0.38,3.08478E+08,1.26233E+14
17,106.8141502,9.32,1359,8538.848832,9.70,8432.034682,0.38,2.92151E+08,2.59287E+13
18,113.0973355,9.32,1378,8658.229353,9.70,8545.132018,0.38,2.96070E+08,1.37700E+12
18,113.0973355,9.32,1412,8871.857654,9.70,8758.760318,0.38,3.03471E+08,3.87915E+13
17,106.8141502,9.31,1378,8658.229353,9.67,8551.415203,0.36,3.12748E+08,2.40394E+14
18,113.0973355,9.31,1424,8947.255877,9.71,8834.158542,0.40,2.90779E+08,4.17771E+13
18,113.0973355,9.32,1438,9035.220472,9.70,8922.123136,0.38,3.09131E+08,1.41335E+14
18,113.0973355,9.31,1421,8928.406322,9.69,8815.308986,0.38,3.05431E+08,6.70362E+13
18,113.0973355,9.31,1423,8940.972692,9.69,8827.875357,0.38,3.05866E+08,7.43555E+13
18,113.0973355,9.31,1421,8928.406322,9.69,8815.308986,0.38,3.05431E+08,6.70362E+13
