nu0,omega0,delta0,nu,omega,delta,deltaomega,deltadelta,c,scarti
14,87.96459430,9.31,618,3883.008520,9.47,3795.043926,0.16,3.12288E+08,2.11273E+14
17,106.8141502,9.31,683,4291.415565,9.50,4184.601415,0.19,2.89974E+08,6.05102E+13
18,113.0973355,9.30,837,5259.026102,9.53,5145.928767,0.23,2.94574E+08,1.01046E+13
13,81.68140899,9.31,848,5328.141140,9.54,5246.459731,0.23,3.00329E+08,6.63595E+12
14,87.96459430,9.31,890,5592.034923,9.55,5504.070329,0.24,3.01947E+08,1.75944E+13
20,125.6637061,9.32,870,5466.371217,9.55,5340.707511,0.23,3.05724E+08,6.35394E+13
11,69.11503838,9.31,852,5353.273882,9.54,5284.158843,0.23,3.02487E+08,2.24116E+13
18,113.0973355,9.30,880,5529.203070,9.54,5416.105735,0.24,2.97122E+08,3.98251E+11
14,87.96459430,9.30,893,5610.884479,9.54,5522.919885,0.24,3.02981E+08,2.73387E+13
14,87.96459430,9.31,619,3889.291705,9.49,3801.327111,0.18,2.78049E+08,3.88242E+14
13,81.68140899,9.31,637,4002.389041,9.48,3920.707632,0.17,3.03651E+08,3.47833E+13
15,94.24777961,9.31,601,3776.194370,9.47,3681.946590,0.16,3.02981E+08,2.73387E+13
13,81.68140899,9.31,653,4102.920006,9.49,4021.238597,0.18,2.94134E+08,1.30926E+13
15,94.24777961,9.31,606,3807.610296,9.48,3713.362517,0.17,2.87592E+08,1.03240E+14
17,106.8141502,9.31,618,3883.008520,9.48,3776.194370,0.17,2.92458E+08,2.80318E+13
