q,err
4.1E-19,1.2E-21
5.7E-19,1.7E-21
4.4E-19,1.3E-21
4.4E-19,1.3E-21
4.8E-19,1.4E-21
1.5E-19,4E-22
1.6E-19,5E-22
1.6E-19,5E-22
1.6E-19,5E-22
1.6E-19,5E-22
6.1E-19,1.8E-21
6.6E-19,2.0E-21
4.1E-19,1.2E-21
4.9E-19,1.5E-21
5.3E-19,1.6E-21
4.7E-19,1.4E-21
5.6E-19,1.7E-21
4.4E-19,1.3E-21
4.7E-19,1.4E-21
4.7E-19,1.4E-21
3.1E-19,9E-22
3.3E-19,1E-21
2.9E-19,9E-22
3.7E-19,1.1E-21
2.8E-19,8E-22
2.9E-19,9E-22
2.5E-19,7E-22
2.7E-19,8E-22
2.8E-19,8E-22
2.8E-19,8E-22
4.8E-19,1.5E-21
5.8E-19,1.8E-21
6.5E-19,2.0E-21
5.3E-19,1.6E-21
5.8E-19,1.8E-21
6.7E-19,2.0E-21
6.7E-19,2.0E-21
7.6E-19,2.3E-21
7.6E-19,2.3E-21
8.8E-19,2.6E-21
1.5E-19,5E-22
1.5E-19,4E-22
1.5E-19,5E-22
1.5E-19,4E-22
1.5E-19,5E-22
7.8E-19,2.3E-21
8.4E-19,2.5E-21
7.8E-19,2.3E-21
7.8E-19,2.3E-21
7.8E-19,2.3E-21
1.9E-19,6E-22
5.9E-19,1.8E-21
6.6E-19,2.0E-21
4.6E-19,1.4E-21
5.4E-19,1.6E-21
1.8E-19,5E-22
1.8E-19,5E-22
1.7E-19,5E-22
1.5E-19,5E-22
1.7E-19,5E-22
7.7E-19,2.3E-21
5.7E-19,1.7E-21
5.0E-19,1.5E-21
5.3E-19,1.6E-21
5.3E-19,1.6E-21
5.4E-19,1.6E-21
5.0E-19,1.5E-21
6.4E-19,1.9E-21
4.6E-19,1.4E-21
5.4E-19,1.6E-21
3.2E-19,1E-21
3.3E-19,1E-21
2.9E-19,9E-22
3.7E-19,1.1E-21
3.2E-19,1E-21
3.3E-19,1E-21
3.1E-19,9E-22
3.2E-19,1E-21
2.9E-19,9E-22
3.1E-19,9E-22
4.6E-19,1.4E-21
4.3E-19,1.3E-21
5.0E-19,1.5E-21
6.7E-19,2.0E-21
6.0E-19,1.8E-21
8.1E-19,2.4E-21
7.2E-19,2.2E-21
7.8E-19,2.3E-21
6.7E-19,2.0E-21
7.5E-19,2.2E-21
1.4E-19,4E-22
1.4E-19,4E-22
1.5E-19,4E-22
1.5E-19,4E-22
1.5E-19,4E-22
6.9E-19,2.1E-21
7.7E-19,2.3E-21
7.7E-19,2.3E-21
8.2E-19,2.5E-21
7.7E-19,2.3E-21
