q, s_q
3.622e-19, 2.652e-20
4.906e-19, 4.804e-20
4.067e-19, 3.326e-20
3.847e-19, 2.983e-20
4.135e-19, 3.435e-20
1.409e-19, 3.282e-21
1.585e-19, 3.894e-21
1.573e-19, 3.852e-21
1.593e-19, 3.922e-21
1.577e-19, 3.866e-21
6.276e-19, 5.188e-20
6.603e-19, 5.723e-20
3.972e-19, 2.156e-20
4.827e-19, 3.129e-20
5.269e-19, 3.702e-20
3.963e-19, 3.039e-20
5.038e-19, 4.856e-20
3.903e-19, 2.951e-20
3.993e-19, 3.085e-20
3.963e-19, 3.039e-20
2.933e-19, 1.519e-20
3.059e-19, 1.647e-20
2.873e-19, 1.460e-20
3.575e-19, 2.225e-20
2.620e-19, 1.223e-20
2.848e-19, 1.284e-20
2.468e-19, 9.788e-21
2.601e-19, 1.081e-20
2.797e-19, 1.241e-20
2.713e-19, 1.171e-20
4.653e-19, 3.990e-20
5.390e-19, 5.325e-20
6.325e-19, 7.294e-20
5.235e-19, 5.028e-20
5.338e-19, 5.223e-20
6.558e-19, 3.865e-20
6.755e-19, 4.073e-20
7.563e-19, 4.978e-20
7.664e-19, 5.097e-20
8.883e-19, 6.653e-20
1.525e-19, 3.636e-21
1.443e-19, 3.312e-21
1.480e-19, 3.455e-21
1.433e-19, 3.274e-21
1.476e-19, 3.441e-21
7.964e-19, 6.221e-20
8.423e-19, 6.913e-20
7.551e-19, 5.627e-20
7.607e-19, 5.707e-20
7.495e-19, 5.550e-20
1.670e-19, 5.413e-21
5.229e-19, 5.268e-20
5.671e-19, 6.197e-20
3.991e-19, 3.072e-20
4.642e-19, 4.154e-20
1.749e-19, 3.330e-21
1.741e-19, 3.310e-21
1.643e-19, 3.094e-21
1.497e-19, 2.857e-21
1.708e-19, 3.234e-21
7.565e-19, 7.077e-20
5.462e-19, 3.694e-20
4.911e-19, 2.989e-20
5.296e-19, 3.474e-20
5.296e-19, 3.474e-20
4.819e-19, 4.254e-20
4.377e-19, 3.510e-20
5.801e-19, 6.161e-20
4.097e-19, 3.075e-20
4.739e-19, 4.114e-20
3.030e-19, 1.504e-20
3.115e-19, 1.590e-20
2.835e-19, 1.318e-20
3.478e-19, 1.981e-20
2.989e-19, 1.464e-20
3.242e-19, 1.518e-20
3.047e-19, 1.342e-20
3.109e-19, 1.397e-20
2.953e-19, 1.260e-20
3.072e-19, 1.363e-20
4.305e-19, 3.287e-20
4.183e-19, 3.103e-20
4.682e-19, 3.886e-20
6.229e-19, 6.875e-20
5.795e-19, 5.951e-20
8.044e-19, 4.599e-20
7.164e-19, 3.667e-20
7.703e-19, 4.225e-20
6.610e-19, 3.138e-20
7.334e-19, 3.839e-20
1.344e-19, 2.213e-21
1.405e-19, 2.400e-21
1.436e-19, 2.496e-21
1.447e-19, 2.531e-21
1.448e-19, 2.536e-21
6.762e-19, 4.014e-20
7.710e-19, 5.207e-20
7.849e-19, 5.395e-20
8.300e-19, 6.029e-20
7.532e-19, 4.972e-20
