x,y,s_y
668.8,3.50686E-09,3.24823E-11
550.0,3.01234E-09,2.79405E-11
595.6,2.98917E-09,2.77538E-11
643.0,3.40186E-09,3.15456E-11
601.2,2.90797E-09,2.69820E-11
516.6,2.58827E-09,2.40704E-11
596.0,3.18393E-09,2.95433E-11
661.0,3.53521E-09,3.27707E-11
773.2,4.03372E-09,3.73508E-11
707.2,3.80510E-09,3.52504E-11
621.6,3.21765E-09,2.98251E-11
680.8,3.79234E-09,3.52047E-11
731.4,3.56860E-09,3.30165E-11
669.0,3.42911E-09,3.17680E-11
604.4,3.30609E-09,3.06779E-11
653.0,3.57441E-09,3.31308E-11
688.0,3.95065E-09,3.65876E-11
716.8,4.22142E-09,3.90753E-11
685.4,3.74675E-09,3.47143E-11
628.0,3.48760E-09,3.23333E-11
