x,y,s_y
654.4,3.51910E-09,3.26171E-11
598.0,3.01834E-09,2.80166E-11
552.2,2.91490E-09,2.70664E-11
654.0,3.27227E-09,3.03495E-11
608.2,2.97834E-09,2.76492E-11
674.2,3.58440E-09,3.32170E-11
618.8,3.36908E-09,3.12388E-11
682.4,3.41587E-09,3.16688E-11
615.2,3.30578E-09,3.06574E-11
677.8,3.53645E-09,3.27765E-11
640.6,3.54080E-09,3.28164E-11
644.8,3.49747E-09,3.24184E-11
695.8,3.58003E-09,3.31768E-11
639.6,3.39456E-09,3.14730E-11
598.6,3.18099E-09,2.95109E-11
688.0,3.67682E-09,3.40660E-11
599.4,3.14812E-09,2.92089E-11
653.0,3.52777E-09,3.26968E-11
603.6,3.30578E-09,3.06574E-11
694.0,3.87429E-09,3.58801E-11
