x,y,s_y
668.8,3.50686e-09,3.24823e-11
550.0,3.01234e-09,2.79405e-11
595.6,2.98917e-09,2.77538e-11
643.0,3.40186e-09,3.15456e-11
601.2,2.90797e-09,2.69820e-11
516.6,2.58827e-09,2.40704e-11
596.0,3.18393e-09,2.95433e-11
661.0,3.53521e-09,3.27707e-11
773.2,4.03372e-09,3.73508e-11
707.2,3.80510e-09,3.52504e-11
621.6,3.21765e-09,2.98251e-11
680.8,3.79234e-09,3.52047e-11
731.4,3.56860e-09,3.30165e-11
669.0,3.42911e-09,3.17680e-11
604.4,3.30609e-09,3.06779e-11
653.0,3.57441e-09,3.31308e-11
688.0,3.95065e-09,3.65876e-11
716.8,4.22142e-09,3.90753e-11
685.4,3.74675e-09,3.47143e-11
628.0,3.48760e-09,3.23333e-11
